brand
"Detail léku  LOPERAMID DR.MAX, 2MG CPS DUR 10"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 30"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 60"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 200"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 6"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 10"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 12"
"Detail léku  LOPERAMIDE AUROVITAS, 2MG CPS DUR 20"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 10 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 200 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 60 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 20 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 12 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 10 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 6 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 60 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 20 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 12 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 10 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 6 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 60 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 20 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 12 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 10 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 6 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 60 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 20 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 12 I"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 200 II"
"Detail léku  LOPERAMIDE KAPPLER, 2MG POR TBL DIS 6 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 200 II"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 200 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 6 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 60 II"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 20 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 12 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 10 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 60 I"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 6 II"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 10 II"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 12 II"
"Detail léku  LOPERAMIDE STADA, 2MG POR TBL DIS 20 II"
"Detail léku  LOPERAMIDE TENSHI, 2MG POR LYO 10"
"Detail léku  LOPERAMIDE TENSHI, 2MG POR LYO 12"
"Detail léku  LOPERAMIDE TENSHI, 2MG POR LYO 6"
"Detail léku  LOPERON, 2MG CPS DUR 6 I"
"Detail léku  LOPERON, 2MG CPS DUR 8 I"
"Detail léku  LOPERON, 2MG CPS DUR 10 I"
"Detail léku  LOPERON, 2MG CPS DUR 20 I"
"Detail léku  LOPERON, 2MG CPS DUR 10 II"
"Detail léku  LOPERON, 2MG CPS DUR 6 II"
"Detail léku  LOPERON, 2MG CPS DUR 8 II"
"Detail léku  LOPERON, 2MG CPS DUR 20 II"
